word,aID,deltaE
tomato,333U7HK6I9F6ARVUUL4ZX8O7IYJDJN,17.707671963265334
tomato,333U7HK6I9F6ARVUUL4ZX8O7IZLDJR,0.0
tomato,33CUSNVVNNC59F3KM9WSMQ1SRXU88W,0.0
tomato,33JKGHPFYCU5XBSSMCVU95SI0XINMN,0.0
tomato,33NF62TLXJ2EOX14M2QM1LJX27GKJ7,13.843674054909709
tomato,33PPO7FECVFAFGBOC3JZL7975JUIDG,0.0
tomato,33PPUNGG385QBGJ3U825QRT1GXMZRZ,0.0
tomato,34YB12FSQYOZNJB6Z8IZJLJLZKUMGA,0.0
tomato,35BLDD71I6XI4N0K3S7FROI4131VZQ,0.0
tomato,35BLDD71I6XI4N0K3S7FROI413ZZVS,0.0
tomato,35LDD5557A44P57PPZ3EHDBE61BKMB,0.0
tomato,35LDD5557A44P57PPZ3EHDBE61CKMC,0.0
tomato,35LDD5557A44P57PPZ3EHDBE62DKMF,0.0
tomato,369J354OFDAXYGQECSBIUPMZ9KGG6V,17.70767196326532
tomato,36ZN444YTRY1JD2D2CXFW1L69X1IOD,17.707671963265334
tomato,374TNBHA8BVQUPUYL7BM7UAUEHIYQ8,12.951233519355895
tomato,378XPAWRUCDCH98CSTSXV611KGXIAE,12.350752607220064
tomato,37C0GNLMHF3UMWGNA2AAO4J2WSZD6H,0.0
tomato,37TD41K0AH9P4286HJI253XCTHLCS3,0.0
tomato,38SKSKU7R1XTDSZGPKHN4KHCESWILW,0.0
tomato,38SKSKU7R1XTDSZGPKHN4KHCESXILX,0.0
tomato,3907X2AHF05FTS0CS9P2YLJFU60P2Q,0.0
tomato,39ASUFLU6X7CXHEJ7KUKUZE7T8ZXEO,0.0
tomato,39K0FND3AHFYDSY3D8QPNZ8I1PHAMM,44.33830408431088
tomato,39N5ACM9HENQTCLBDI4H88RT0CAP9I,0.0
tomato,39PAAFCODM0MIBRLX0IX50HNG8GTVB,15.569661586073059
tomato,3AAPLD8UCCHH0AW1SB1TQZQE8S4HT6,18.590183641245414
tomato,3C5W7UE9CFQA956WOII377JG2AQXMD,0.0
tomato,3C8HJ7UOP7UZE06BP06O4SZRAANZMB,0.0
tomato,3CFVK00FWLLDK84FNJ8Y7HR7523L69,0.0
tomato,3COPXFW7XBCAA842HFV6YH59B6MKP7,30.33217707544254
tomato,3D4CH1LGEATKGZSCAZEUEZD1ZLNG95,0.0
tomato,3DL65MZB8DFOUJ3OGOYXGMTXSQCCE2,17.70767196326532
tomato,3E7TUJ2EGCMH4FIL89DM8EA4MU9D9W,17.707671963265334
tomato,3EA3QWIZ4IVHW57LYTJEQBRT85IITZ,0.0
tomato,3EF8EXOTT1VCIWFIESK4W6NYT2I1JP,0.0
tomato,3EG49X351UC8K2L412BMIBMUCAC6XD,0.0
tomato,3EQHHY4HQSS1FCQ0791D2J8ZDQ65G7,0.0
tomato,3ERMJ6L4DYSGUQ0565E5D86S0HBM77,0.0
tomato,3EWIJTFFVO740R88485DLLRWJ1FE0B,0.0
tomato,3FIJLY1B6U4ZUMCOG449I4D43A5FP0,0.0
tomato,3FIJLY1B6U4ZUMCOG449I4D43B7FP4,0.0
tomato,3FPRZHYEPY7HJUTRILC6NNDPM933V4,0.0
tomato,3G0WWMR1UVKWIQQKE52BQECNAXDQN9,0.0
tomato,3GDTJDAPVUBKU45OGA6BR82NB1IM8V,0.0
tomato,3GGAI1SQEVYM67V1XMMGTUY61S2MC0,0.0
tomato,3GLB5JMZFXVWJP5TMFJW0VWRQ62GDM,0.0
tomato,3GLB5JMZFXVWJP5TMFJW0VWRQ74DGN,0.0
tomato,3H8DHMCCW9B1LB1CC64BYNOKXNJDKM,17.70767196326532
tomato,3H8DHMCCW9B1LB1CC64BYNOKXOLDKQ,0.0
tomato,3HMIGG0U4L6KOLU2ZDUML3PUKBW8Y7,0.0
tomato,3HSYG7LRBJY9ZH7M4NQY20JAHWGKK6,12.951233519355904
tomato,3I7DHKZYGN0V1CU5WPVVKY8NCA5F5F,0.0
