word,groundTruth,condition
fire,41.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,15.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,2.0,concrete
fire,41.0,concrete
fire,11.0,concrete
fire,6.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,15.0,concrete
fire,5.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,11.0,concrete
fire,18.0,concrete
fire,6.0,concrete
fire,11.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,11.0,concrete
fire,18.0,concrete
fire,11.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,5.0,concrete
fire,15.0,concrete
fire,1.0,concrete
fire,41.0,concrete
fire,11.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,15.0,concrete
fire,5.0,concrete
fire,18.0,concrete
fire,11.0,concrete
fire,11.0,concrete
fire,15.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,15.0,concrete
fire,5.0,concrete
spinach,3.0,concrete
spinach,21.0,concrete
spinach,4.0,concrete
spinach,21.0,concrete
spinach,11.0,concrete
spinach,11.0,concrete
spinach,44.0,concrete
spinach,11.0,concrete
spinach,44.0,concrete
spinach,4.0,concrete
spinach,1.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,3.0,concrete
spinach,44.0,concrete
spinach,3.0,concrete
spinach,44.0,concrete
spinach,11.0,concrete
spinach,3.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,21.0,concrete
spinach,21.0,concrete
spinach,11.0,concrete
spinach,1.0,concrete
spinach,44.0,concrete
spinach,11.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,11.0,concrete
spinach,3.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,11.0,concrete
spinach,2.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,3.0,concrete
spinach,2.0,concrete
spinach,1.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,11.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,3.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,3.0,concrete
spinach,3.0,concrete
spinach,3.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,11.0,concrete
spinach,44.0,concrete
spinach,1.0,concrete
spinach,4.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,11.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,11.0,concrete
spinach,2.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,1.0,concrete
spinach,21.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,1.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,4.0,concrete
spinach,21.0,concrete
spinach,11.0,concrete
spinach,3.0,concrete
spinach,44.0,concrete
spinach,3.0,concrete
spinach,21.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,2.0,concrete
spinach,44.0,concrete
spinach,3.0,concrete
spinach,44.0,concrete
spinach,3.0,concrete
spinach,3.0,concrete
spinach,3.0,concrete
spinach,11.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,4.0,concrete
spinach,21.0,concrete
spinach,44.0,concrete
spinach,44.0,concrete
spinach,21.0,concrete
spinach,11.0,concrete
spinach,44.0,concrete
vegetable,17.0,concrete
vegetable,1.0,concrete
vegetable,3.0,concrete
vegetable,48.0,concrete
vegetable,2.0,concrete
vegetable,17.0,concrete
vegetable,17.0,concrete
vegetable,5.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,5.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,2.0,concrete
vegetable,17.0,concrete
vegetable,17.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,5.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,17.0,concrete
vegetable,48.0,concrete
vegetable,5.0,concrete
vegetable,5.0,concrete
vegetable,48.0,concrete
vegetable,3.0,concrete
vegetable,1.0,concrete
vegetable,17.0,concrete
vegetable,48.0,concrete
vegetable,6.0,concrete
vegetable,6.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,1.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,3.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,1.0,concrete
vegetable,48.0,concrete
vegetable,17.0,concrete
vegetable,5.0,concrete
vegetable,48.0,concrete
vegetable,5.0,concrete
vegetable,48.0,concrete
vegetable,1.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,17.0,concrete
vegetable,2.0,concrete
vegetable,48.0,concrete
vegetable,17.0,concrete
vegetable,48.0,concrete
vegetable,6.0,concrete
vegetable,17.0,concrete
vegetable,17.0,concrete
vegetable,3.0,concrete
vegetable,17.0,concrete
vegetable,5.0,concrete
vegetable,3.0,concrete
vegetable,5.0,concrete
vegetable,5.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,6.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,3.0,concrete
vegetable,48.0,concrete
vegetable,3.0,concrete
vegetable,6.0,concrete
vegetable,48.0,concrete
vegetable,17.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,1.0,concrete
vegetable,48.0,concrete
vegetable,6.0,concrete
vegetable,17.0,concrete
vegetable,2.0,concrete
vegetable,48.0,concrete
vegetable,17.0,concrete
vegetable,3.0,concrete
vegetable,48.0,concrete
vegetable,48.0,concrete
vegetable,3.0,concrete
vegetable,1.0,concrete
vegetable,17.0,concrete
vegetable,48.0,concrete
vegetable,17.0,concrete
apple,1.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,4.0,concrete
apple,3.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,5.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,1.0,concrete
apple,1.0,concrete
apple,1.0,concrete
apple,8.0,concrete
apple,43.0,concrete
apple,3.0,concrete
apple,3.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,8.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,8.0,concrete
apple,43.0,concrete
apple,1.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,5.0,concrete
apple,21.0,concrete
apple,8.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,3.0,concrete
apple,2.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,5.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,8.0,concrete
apple,43.0,concrete
apple,1.0,concrete
apple,21.0,concrete
apple,3.0,concrete
apple,3.0,concrete
apple,43.0,concrete
apple,5.0,concrete
apple,4.0,concrete
apple,4.0,concrete
apple,1.0,concrete
apple,43.0,concrete
apple,1.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,4.0,concrete
apple,21.0,concrete
apple,1.0,concrete
apple,1.0,concrete
apple,43.0,concrete
apple,2.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,8.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,21.0,concrete
apple,21.0,concrete
apple,8.0,concrete
apple,21.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,1.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,43.0,concrete
apple,8.0,concrete
apple,5.0,concrete
apple,21.0,concrete
apple,21.0,concrete
apple,43.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,1.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,3.0,concrete
daffodil,37.0,concrete
daffodil,3.0,concrete
daffodil,3.0,concrete
daffodil,1.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,32.0,concrete
daffodil,3.0,concrete
daffodil,5.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,2.0,concrete
daffodil,2.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,3.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,5.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,5.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,37.0,concrete
daffodil,2.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,1.0,concrete
daffodil,1.0,concrete
daffodil,5.0,concrete
daffodil,37.0,concrete
daffodil,1.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,3.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,2.0,concrete
daffodil,1.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,1.0,concrete
daffodil,1.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,32.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,37.0,concrete
daffodil,5.0,concrete
daffodil,37.0,concrete
daffodil,32.0,concrete
daffodil,32.0,concrete
daffodil,1.0,concrete
daffodil,37.0,concrete
bone,6.0,concrete
bone,6.0,concrete
bone,1.0,concrete
bone,6.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,4.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,1.0,concrete
bone,6.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,6.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,4.0,concrete
bone,2.0,concrete
bone,6.0,concrete
bone,6.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,1.0,concrete
bone,1.0,concrete
bone,54.0,concrete
bone,1.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,1.0,concrete
bone,2.0,concrete
bone,1.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,1.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,1.0,concrete
bone,6.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,1.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,54.0,concrete
