word,CNC,CNC_SD,CNC_N,IMAG,IMAG_SD,IMAG_N,FAM,FAM_SD,FAM_N
construction,5.1875,1.4238,32,5.5758,1.2068,33,5.0690,1.4367,29
consult,3.7941,1.5863,34,2.8235,1.6355,34,5.0938,1.5882,32
contain,3.2188,1.6151,32,3.0323,1.4024,31,5.6071,1.0120,28
container,6.0294,0.9231,34,5.9118,1.1972,34,6.0000,1.2700,31
contempt,3.0286,1.5397,35,3.2286,1.5322,35,4.9118,1.5787,34
contend,2.8125,1.1302,32,2.1515,1.0765,33,4.3667,1.7221,30
contender,3.8824,1.7948,34,3.9714,1.6122,35,4.0313,1.6674,32
content,3.1429,1.2681,35,3.1471,1.8332,34,5.7586,1.1343,29
content (contents),4.4412,1.6304,34,3.7353,1.8991,34,5.2813,1.7719,32
content (happy),2.8750,1.6536,32,4.6129,1.7538,31,6.2143,1.0473,28
contents,4.7879,1.5523,33,4.0938,1.5882,32,5.4839,1.2919,31
context,2.8529,1.4977,34,2.5000,1.2748,32,5.3571,1.3684,28
continent,6.3438,0.7750,32,5.4848,1.2821,33,5.1935,1.5117,31
continental,4.3548,1.5144,31,4.1333,1.5861,30,5.0323,1.6941,31
contract,5.5455,1.4790,33,5.3636,1.4103,33,5.3448,1.1530,29
contract (agreement),4.6667,1.9332,33,4.7714,1.5872,35,5.4000,1.6452,30
contract (catch),3.6061,1.8900,33,3.0857,1.6278,35,4.3939,1.8739,33
contribute,2.7647,1.2381,34,2.7353,1.5012,34,5.5000,1.0607,32
contribution,2.9706,1.3609,34,3.0000,1.5492,35,5.6765,1.0770,34
convene,3.0357,1.3753,28,3.0645,1.6448,31,3.3125,1.7578,32
convener,4.7600,1.4221,25,3.7308,1.9127,26,3.3030,2.1530,33
convent,4.8750,1.6536,32,4.7667,1.7259,30,2.8519,1.5081,27
convention,3.7879,1.5717,33,3.7419,1.6058,31,4.2581,1.7221,31
convert,2.0968,0.8928,31,2.2188,1.2179,32,3.9643,1.5920,28
convict,4.9706,1.3824,34,4.7714,1.6228,35,4.5758,1.9074,33
conviction,3.6471,1.8131,34,3.2000,1.6353,35,4.7879,1.8217,33
convoy,5.5455,1.1571,33,5.4706,1.3336,34,3.7941,1.9063,34
cook,5.4375,1.2231,32,6.2188,0.9265,32,6.5862,0.7200,29
cooker,6.6765,0.5270,34,6.5000,0.7376,34,5.9310,1.4840,29
cool,2.8571,1.1500,35,3.5143,1.6966,35,6.1034,0.9946,29
cool (popular),2.8387,1.6084,31,4.0000,1.7780,31,5.8065,1.4462,31
cool (temperature),4.3636,1.7376,33,4.0286,1.9196,35,6.2813,0.8379,32
cooperate,3.4000,1.4967,35,3.9429,1.6723,35,5.8065,1.4684,31
copy,3.8788,1.8217,33,4.4063,1.7653,32,6.1429,0.9530,28
coral,5.7353,1.5398,34,6.0938,1.1554,32,4.7407,1.7553,27
cord,5.4571,1.8722,35,5.6563,1.5534,32,3.9375,1.6190,32
core,4.0968,1.6724,31,4.1250,1.5562,32,4.6667,1.6398,30
cork,6.5000,0.7792,28,6.0385,1.6048,26,5.2222,1.4487,27
corn,6.3636,0.7714,33,6.2424,0.9544,33,5.2857,1.5037,35
corn (foot),5.9697,1.5073,33,5.4839,1.7014,31,3.1563,1.9057,32
corn (maize),6.4286,1.0222,35,6.0588,1.2589,34,5.2647,1.6682,34
corner,6.0294,1.0428,34,5.7647,1.4154,34,6.1538,1.0631,26
corner (edge),5.9412,1.4540,34,6.2353,0.8765,34,6.1875,0.9164,32
corner (surround),4.0294,1.4650,34,4.7353,1.5206,34,5.0313,1.7408,32
cornered,3.8235,1.7400,34,4.1765,1.8704,34,4.9286,1.8503,28
cornflour,6.7188,0.5144,32,6.1818,1.1666,33,4.3793,1.6695,29
corporation,4.6875,1.7399,32,4.5714,1.8866,35,4.8438,1.4601,32
corpse,6.6071,0.6176,28,5.9677,0.9995,31,4.4444,1.9309,27
corridor,5.9677,1.3071,31,6.3438,0.8143,32,6.0385,0.9398,26
corrupt,3.1714,1.6645,35,3.1818,1.4864,33,4.4483,1.6730,29
cortex,5.2667,1.7499,30,4.1935,1.9743,31,4.4688,1.9362,32
cost,3.4194,1.6612,31,3.3548,1.6568,31,6.1200,1.0703,25
costly,3.8286,1.4636,35,3.9091,1.7121,33,5.5333,1.3597,30
costume,5.6563,1.5126,32,5.8929,1.1753,28,5.6071,1.5888,28
cosy,3.3125,1.7219,32,4.8125,1.7755,32,6.3333,0.7454,30
cottage,6.7647,0.5970,34,6.7188,0.5720,32,5.5625,1.2231,32
cotton,6.4194,1.0088,31,6.0000,1.0847,34,5.5938,1.5980,32
couch,6.7460,0.5625,63,6.7231,0.5950,65,5.8421,1.3610,57
couch (express),4.3043,1.8982,23,4.0435,2.0532,23,2.9394,2.0588,33
couch (sofa),6.7143,0.7396,35,6.6970,0.6269,33,6.0938,1.1280,32
cough,5.8286,1.0552,35,5.7647,1.2141,34,6.2000,1.0456,30
councillor,5.5429,1.4994,35,5.2286,1.5872,35,4.6571,1.6025,35
counsellor,5.3125,1.4882,32,5.3939,1.4759,33,5.2000,1.8690,30
count,3.9118,1.7551,34,3.7059,1.7240,34,6.0000,1.1547,33
count (numbers),3.6286,1.6403,35,3.2571,1.7129,35,5.9375,1.3448,32
count (title),4.4333,1.8382,30,4.0323,2.0397,31,3.5161,2.0300,31
counter,5.5152,1.4590,33,5.5714,1.5727,35,4.9688,1.4892,32
counter (keeping account),4.5833,1.8764,36,3.2857,2.1054,35,4.0000,2.1320,33
counter (oppose),3.2121,1.3429,33,2.9375,1.5996,32,4.6563,1.6698,32
counter (worktop),6.5625,0.8268,32,6.2647,1.1196,34,5.9000,1.5990,30
country,5.6176,1.4352,34,6.0313,1.1854,32,6.3438,1.1621,32
county,5.4000,1.3317,30,4.8333,1.6948,30,5.0323,1.8749,31
coup,3.7600,1.8608,25,3.5000,1.7153,26,3.0000,1.5146,34
couple,5.0000,1.4975,33,5.7813,1.1106,32,5.8966,1.0287,29
couple (a few),4.3143,1.8011,35,4.8857,2.0251,35,6.0625,1.4348,32
couple (romantic pair),5.3235,1.6754,34,6.2353,1.0862,34,6.3333,0.7654,33
courage,2.3529,1.0539,34,3.6970,1.7142,33,5.2727,1.5623,33
courageous,2.9118,1.6515,34,3.4412,1.6837,34,5.1250,1.7810,32
course,3.9412,1.4540,34,3.1176,1.6407,34,5.9310,1.0806,29
course (class),4.6875,2.0068,32,4.3333,1.6997,30,6.2069,1.1855,29
course (path),4.3636,1.8393,33,4.9143,1.9910,35,4.9091,1.4640,33
court,5.5161,0.9795,31,5.7000,0.8622,30,5.2143,1.3979,28
court (law),5.7500,1.2990,32,5.6061,1.4552,33,5.4516,1.2402,31
court (sport),5.7059,1.4858,34,5.8438,1.2275,32,4.7500,1.9526,32
court (woo),3.7667,1.3828,30,4.4000,1.5406,30,3.7097,1.9376,31
courtship,4.1515,1.4796,33,3.8485,1.9089,33,3.1613,2.0493,31
courtyard,6.2500,0.9682,32,6.2059,1.1319,34,4.6897,1.7040,29
cover,4.4063,1.5784,32,4.2759,1.5290,29,5.8519,1.2081,27
covert,2.8485,1.3511,33,3.1818,1.9141,33,4.2667,1.9653,30
cow,6.8485,0.4349,33,6.8788,0.4088,33,6.3333,1.0111,30
coward,3.1875,1.6286,32,3.6875,1.7219,32,4.3462,1.6158,26
cowardice,2.5429,1.0238,35,3.4412,1.6484,34,3.4848,1.9247,33
cowardly,2.5152,0.9573,33,2.6364,1.2509,33,4.3871,1.6200,31
cowboy,6.1765,0.9540,34,6.6667,0.6356,33,4.9375,2.0300,32
cowboy (reckless),4.2581,1.7955,31,4.6667,1.8679,30,3.3750,1.9961,32
cowboy (wild west),5.6571,1.5481,35,6.6000,0.7251,35,5.3714,1.6918,35
crab,6.7813,0.4831,32,6.6333,0.8360,30,5.1935,1.5744,31
crab (cranky person),3.6765,1.6037,34,4.7879,1.6470,33,3.3429,1.8814,35
crab (shellfish),6.5758,0.9221,33,6.6061,0.8506,33,5.5938,1.8517,32
cradle,5.9412,1.3707,34,6.0286,1.0278,35,4.6857,1.9089,35
craft,4.4571,1.5738,35,3.9143,1.6102,35,4.7500,1.7243,28
craft (skill),4.5161,1.6238,31,4.0313,1.6486,32,4.7500,1.5612,32
craft (vessel),6.0571,1.3720,35,5.6667,1.8368,33,3.8438,1.9221,32
crag,5.4737,1.4643,19,4.5714,1.7340,21,2.1034,1.3221,29
cranium,6.2333,0.9551,30,4.9286,1.3869,28,3.4286,1.9717,28
crank,4.2059,1.8276,34,3.3235,1.7610,34,3.9394,1.8413,33
crank (grouch),3.4286,1.4983,28,4.0000,1.9652,29,2.8125,1.6665,32
crank (winch),5.0909,1.5641,33,4.7586,1.8318,29,3.1290,1.8271,31
crap,3.6364,1.5139,33,4.8235,1.8064,34,5.6774,1.7299,31
crash,5.4000,1.4514,30,5.7419,1.4361,31,5.7500,1.4216,24
crater,6.1515,1.2582,33,5.8529,1.2159,34,3.8788,1.6098,33
crawl,4.7941,1.4907,34,5.5000,1.3339,34,5.2963,1.5351,27
crayon,6.4412,1.1680,34,6.5455,0.7423,33,5.5882,1.4776,34
crazy,2.7941,1.1056,34,4.4118,1.9870,34,5.7143,1.8098,28
cream,6.4848,0.6570,33,6.2353,1.1896,34,5.5625,1.1709,32
create,2.6857,1.5995,35,3.3030,1.5856,33,6.1250,1.0825,32
creator,3.1471,2.1162,34,3.2727,1.9270,33,5.3000,1.6563,30
creature,5.4516,1.5206,31,5.1333,1.5861,30,5.6552,1.6458,29
credit,3.2353,1.6460,34,3.0303,1.8827,33,5.4667,1.2037,30
credit (money),4.6667,1.7174,33,4.5313,1.7675,32,5.4688,1.5408,32
credit (praise),3.6176,1.6980,34,3.0938,1.5882,32,4.9394,1.6867,33
creek,6.0000,1.3198,31,5.8710,1.4971,31,4.2258,1.8265,31
creep,3.3529,1.5696,34,4.0882,1.7551,34,4.4688,1.7136,32
crest,5.0323,1.4252,31,4.9355,1.4577,31,3.8065,1.9247,31
crevice,4.9355,1.7027,31,5.0313,1.6486,32,3.8000,1.8330,30
cricket,5.7188,1.4840,32,6.1818,1.1666,33,4.5333,1.9102,30
cricket (insect),6.5143,1.0246,35,6.6000,0.9008,35,4.7059,1.6184,34
cricket (sport),6.3939,0.6937,33,6.5455,0.6556,33,5.1613,1.7431,31
crime,4.7576,1.5960,33,4.8750,1.6536,32,6.1250,1.1659,32
criminal,5.1429,1.4569,35,5.2121,1.5326,33,5.1875,1.5091,32
crisis,3.7429,2.0191,35,3.9118,1.7718,34,5.3636,1.4938,33
crisp,5.1143,1.6348,35,5.6471,1.5882,34,5.5625,1.5600,32
crisp (chip),6.5161,0.6658,31,6.4848,1.1314,33,5.9667,1.8883,30
crisp (sharp),3.9118,1.8370,34,4.5143,1.7299,35,4.7143,1.6830,35
critic,4.4706,1.6312,34,3.7714,1.7252,35,4.9667,1.7221,30
criticism,3.0313,1.7938,32,2.8125,1.4456,32,5.4516,1.3640,31
criticize,2.8485,1.3285,33,3.9118,1.7213,34,5.6364,1.4316,33
crocodile,6.7879,0.4772,33,6.8333,0.4534,30,5.5517,2.0776,29
crook,4.3125,1.7755,32,4.7742,2.2391,31,4.0345,2.0424,29
crook (criminal),5.9375,1.2975,32,6.0938,1.0712,32,4.9063,2.0518,32
crook (stick),5.4375,1.5398,32,5.3448,1.9168,29,2.6364,1.8060,33
crop,5.7273,1.5230,33,5.8387,1.4390,31,4.6552,1.7474,29
crops,5.9655,0.8503,29,5.7037,1.0476,27,4.5600,1.5513,25
cross,4.9394,1.6503,33,5.3429,1.5481,35,5.3548,1.6372,31
cross (an object),5.9091,1.3565,33,5.7941,1.7112,34,4.9697,1.7664,33
cross (annoyed),3.7429,1.6097,35,4.6857,1.7529,35,5.6563,1.3831,32
cross (offend),2.8788,0.9772,33,2.8788,1.4926,33,4.3750,1.7633,32
cross (pass),4.5714,1.4791,35,4.6176,1.6452,34,4.7273,1.6564,33
crossbow,6.2353,1.0588,34,6.2353,1.2616,34,4.0645,1.7401,31
crossed,3.7576,1.7928,33,3.6471,1.7968,34,5.2759,1.6166,29
crow,6.6452,0.6978,31,6.7188,0.6242,32,5.7143,1.4106,28
crowd,5.7037,0.9355,27,6.1000,0.9074,30,6.1923,0.9615,26
crown,6.3214,0.9279,28,6.5714,0.7284,28,5.1852,1.4666,27
crucifix,5.8065,1.6148,31,6.3333,0.8300,30,4.3214,2.0363,28
crucify,4.4063,1.9503,32,4.5758,2.0305,33,3.6786,1.9096,28
crude,2.5000,1.0567,30,2.5625,1.2484,32,4.5517,1.3793,29
cruel,2.7059,1.4252,34,3.4706,1.8025,34,5.3793,1.2976,29
cruise,5.1667,1.2405,30,5.4138,1.2182,29,4.4615,1.6923,26
crumb,6.0938,1.2339,32,6.2500,0.9354,32,5.8788,1.0943,33
crumble,4.2424,1.8096,33,4.8529,1.5365,34,4.6000,1.6852,30
crunch,4.3125,1.3095,32,4.7742,1.6984,31,5.8276,1.4400,29
crunchy,5.1429,1.5146,35,4.8182,1.7313,33,5.4839,1.1879,31
crush,4.5000,1.6882,30,4.1875,1.7755,32,5.7586,1.3302,29
crushed,4.1875,1.6665,32,5.2424,1.6883,33,5.8276,1.3149,29
crust,5.9412,1.1867,34,5.8235,1.3820,34,5.7941,1.0787,34
crutch,5.6970,1.2669,33,5.6765,1.4496,34,4.5806,1.6219,31
cry,4.9706,1.7571,34,5.8438,1.3944,32,6.3667,0.9123,30
cry (shout),4.8824,1.5101,34,4.8125,1.8103,32,5.7879,1.5127,33
cry (weep),5.1143,1.3892,35,6.0286,0.9098,35,6.0938,1.1280,32
crying,5.2571,1.5370,35,6.3235,1.0494,34,6.1515,0.9885,33
crystal,6.1143,1.3474,35,6.1429,1.0992,35,4.9118,1.7551,34
cube,6.1212,1.3873,33,6.4194,0.9427,31,5.6333,1.6829,30
cuddle,5.4857,1.4217,35,6.0000,0.8619,35,6.3125,0.9823,32
cues,3.0588,1.2353,34,2.8235,1.7230,34,4.6875,1.9111,32
cues (prompts),4.2414,1.5235,29,3.6875,1.7578,32,4.5455,1.4993,33
cues (snooker),6.3636,0.9791,33,6.4412,1.0344,34,4.4848,1.7773,33
cuisine,5.5152,1.4796,33,5.5556,1.6741,36,5.1290,2.0595,31
cultural,3.0303,1.5469,33,3.6061,1.5943,33,5.9655,0.9643,29
culture,2.9333,1.6519,30,3.7576,1.3933,33,6.2069,0.9240,29
cunning,2.5455,1.4993,33,3.1818,1.6228,33,4.5758,1.6702,33
cunt,4.3438,2.1303,32,4.5938,1.9503,32,5.0968,2.1000,31
cup,6.5000,0.8828,34,6.7500,0.5590,32,6.4667,0.8459,30
curb,5.4118,1.7340,34,5.2424,1.8754,33,4.7097,1.7075,31
cure,4.2188,1.4945,32,2.8438,1.7873,32,5.5556,1.2862,27
curious,2.2500,1.0897,32,2.8065,1.4462,31,5.8148,0.9443,27
currant,5.5588,1.5183,34,5.5000,1.5387,34,4.6333,1.5596,30
currency,4.3103,1.6422,29,4.8065,1.2292,31,4.7500,1.7619,24
current,3.0000,1.4142,31,3.0313,1.5101,32,5.1923,1.4417,26
curry,6.5152,0.8571,33,6.5152,0.8918,33,6.1111,1.1967,27
curse,2.7647,1.5158,34,3.7273,1.7281,33,4.5161,1.8986,31
curtain,6.5806,0.7082,31,6.5926,0.6242,27,5.9583,1.3379,24
cushion,6.2000,1.3480,35,6.3939,0.9191,33,5.9000,1.2477,30
custom,2.7188,1.5858,32,2.6970,1.6785,33,5.2000,1.7010,30
cut,5.9688,0.9180,32,6.0968,1.0882,31,6.0000,1.2089,26
cut (clip),5.0303,1.4665,33,4.7647,1.7499,34,4.7647,1.8159,34
cut (of meat),5.7500,1.4142,32,5.8529,1.0039,34,4.4483,1.7338,29
cut (share),4.0303,1.6964,33,3.5152,1.8443,33,4.3548,1.6372,31
cut (wound),5.9677,1.0312,31,6.1563,1.2774,32,6.3448,0.9201,29
cute,2.9412,1.2589,34,4.9143,1.4999,35,6.1667,0.9690,30
cycle,4.6552,1.6034,29,4.8276,1.5328,29,5.5000,1.1519,26
cyclone,5.7500,1.4577,32,5.6667,1.4907,33,3.7742,1.9627,31
cymbals,6.0000,1.5313,29,6.1250,1.5360,32,3.7333,2.3228,30
cynical,2.2353,1.3945,34,2.4242,1.4571,33,4.6061,1.6686,33
Dad,6.2353,1.5729,34,6.3750,1.4948,32,6.8710,0.5531,31
daffodil,6.7647,0.5970,34,6.9118,0.2836,34,5.6333,1.3287,30
dagger,6.5455,0.8907,33,6.6061,0.8506,33,4.5758,1.7586,33
daisy,6.6000,0.8350,35,6.7353,0.6092,34,5.9667,0.9481,30
damage,4.1143,1.4297,35,4.8529,1.4376,34,5.7097,1.3245,31
damaged,4.2647,1.5398,34,4.5882,1.6648,34,5.5152,1.3734,33
Dame,5.1250,1.5155,32,4.9688,1.7763,32,3.6970,2.1247,33
damp,5.1471,1.1410,34,4.6286,1.3112,35,5.3226,1.6922,31
damsel,4.8485,1.7254,33,5.7273,1.1355,33,3.7879,1.9503,33
dance,4.8333,1.5723,30,6.1250,0.8927,32,6.1786,1.1968,28
dancer,6.3939,0.6937,33,6.5714,0.6452,35,5.9286,1.2515,28
dancing,5.3714,1.4945,35,6.4848,0.6570,33,6.4138,1.0673,29
dandruff,6.3636,1.0392,33,6.1613,0.9869,31,4.8667,1.8025,30
danger,3.3235,1.7442,34,4.7647,1.6814,34,6.1154,1.0498,26
dangerous,3.0294,1.5809,34,4.5161,1.5836,31,5.8788,1.2970,33
dangle,3.0000,1.2309,33,3.6563,1.6319,32,3.6061,1.5362,33
dapper,2.8750,1.5562,32,4.1333,1.5434,30,3.3571,1.7365,28
dare,3.4063,1.3661,32,3.3000,1.6563,30,5.6333,1.3536,30
dark,4.5152,1.9247,33,6.2059,0.9324,34,6.4063,0.7850,32
darkness,4.7059,2.0797,34,5.9118,1.5410,34,5.9000,1.2207,30
darling,3.2286,1.4945,35,3.5000,1.7193,34,5.6552,1.4687,29
data,5.3824,1.3287,34,4.4242,1.9074,33,5.7692,1.2803,26
date,4.3030,1.2906,33,5.0000,1.7566,35,6.1212,0.9772,33
date (calendar),4.9714,1.5210,35,5.2424,1.5380,33,6.3871,0.9731,31
date (fruit),6.0625,1.3214,32,6.0000,1.3678,31,4.7813,2.0269,32
date (romantic),4.4063,1.7295,32,5.4688,1.4787,32,6.2000,1.0770,30
daughter,5.9412,1.2820,34,5.6786,1.5131,28,6.3000,1.0376,30
dawn,5.0345,1.1885,29,5.5517,1.1622,29,4.9643,1.6362,28
daybreak,4.5000,1.3844,30,5.3000,1.5948,30,3.3600,1.6463,25
daylight,5.1563,1.6791,32,6.2813,0.7174,32,6.4000,0.7118,30
daze,3.3529,1.5508,34,3.6667,1.5699,33,4.2500,1.5726,28
dazzle,3.2188,1.1655,32,4.2727,1.7455,33,5.3000,1.5089,30
dead,5.5882,1.5169,34,5.7647,1.5729,34,6.0313,1.2115,32
deaf,5.0313,1.8789,32,3.2813,1.8240,32,5.4286,1.5219,28
deal,3.3939,1.6503,33,3.9375,1.7667,32,5.8077,1.3593,26
deal (bargain),3.5588,1.7854,34,3.9706,1.5621,34,5.8529,1.1914,34
deal (playing cards),5.0000,1.5000,32,5.4286,1.6263,35,5.2121,1.4090,33
deal (with),3.0588,1.4337,34,2.6667,1.5891,33,5.7576,1.5182,33
dear,3.0303,1.4246,33,3.1875,1.6286,32,5.6563,1.3831,32
death,4.0286,2.1842,35,4.3636,1.9972,33,6.3548,1.0640,31
debacle,3.0435,1.3344,23,2.8696,1.6760,23,2.9143,1.9910,35
debt,4.3429,1.7557,35,4.1176,1.9669,34,5.2188,1.8496,32
debtor,4.7419,1.5651,31,3.9333,1.6720,30,2.7419,1.6058,31
decadent,2.4643,1.2951,28,3.8667,1.8750,30,3.9630,1.7529,27
decay,4.5294,1.7529,34,4.9714,1.4439,35,4.4706,1.9589,34
deceit,2.4000,1.3980,35,2.3939,1.3693,33,4.8286,1.6645,35
deceive,3.0000,1.5862,31,2.5938,1.3661,32,5.3548,1.3807,31
decent,2.5938,1.2212,32,2.9697,1.5664,33,5.6538,0.9978,26
deception,2.2353,1.3074,34,2.9118,1.9000,34,4.6471,1.7803,34
deck,6.0000,1.1212,35,5.6563,1.3831,32,4.9667,2.1523,30
deck (cards),6.2667,0.9638,30,6.1250,1.0825,32,5.6774,1.2798,31
deck (ship),6.4412,0.6941,34,6.4516,0.7111,31,5.0667,1.8607,30
declare,3.1818,1.6779,33,2.8125,1.6852,32,4.8621,1.5475,29
decompose,4.8824,1.4300,34,4.7241,1.6998,29,4.5333,1.6680,30
decorate,4.6176,1.5907,34,4.5588,1.8018,34,5.5667,1.0858,30
decoration,4.7419,1.5856,31,5.2333,1.2565,30,5.2593,1.5298,27
decorator,5.8788,0.9457,33,5.7576,1.1814,33,5.4839,1.4563,31
decree,3.7097,1.7633,31,3.6774,1.8030,31,3.1212,1.6834,33
deduct,2.9118,1.1211,34,2.6667,1.5308,33,4.4688,1.7851,32
deduction,2.7273,1.5030,33,2.8857,1.6173,35,4.4706,1.6312,34
deed,3.9429,1.5481,35,3.2941,1.5249,34,4.6774,1.6731,31
deep,3.7941,1.9369,34,4.6000,1.9885,35,6.2500,0.9682,32
deer,6.6563,0.6427,32,6.7500,0.5089,28,5.3214,1.6702,28
defame,2.7241,1.3364,29,2.3333,1.2202,30,2.7059,1.6721,34
defeat,3.0938,1.2339,32,3.8485,1.4999,33,4.9706,1.5240,34
defiant,2.8387,1.1667,31,2.9091,1.7471,33,4.2903,1.8699,31
define,3.0625,1.5194,32,2.4063,1.6557,32,5.6296,1.2516,27
definition,3.6970,2.0224,33,3.5143,1.7464,35,5.5625,1.5194,32
deformed,4.7576,1.8754,33,5.3529,1.4729,34,4.7419,1.9339,31
defy,2.7419,1.5020,31,2.6667,1.7696,33,5.4667,1.4545,30
dejected,2.3871,1.0057,31,2.5000,1.3919,32,3.1875,1.4456,32
delay,3.4000,1.5529,35,3.4412,1.5566,34,5.5455,1.2814,33
delicious,3.0313,1.6861,32,3.6563,1.9939,32,6.3929,0.8168,28
delight,3.0000,1.6903,35,4.2121,1.5523,33,5.5455,1.2083,33
delighted,3.2857,1.3851,35,4.1714,1.4830,35,6.0690,1.2847,29
delightful,2.6571,1.2408,35,3.8485,1.3953,33,5.5333,1.5649,30
delirium,2.8065,1.5744,31,3.2424,1.7928,33,2.8182,1.9917,33
delude,2.4839,1.1604,31,2.3438,1.4493,32,3.6875,1.8947,32
deluded,2.2286,1.3750,35,2.7059,1.4659,34,4.3143,1.5815,35
deluge,3.5714,1.6782,28,3.5517,1.8116,29,2.2333,1.4067,30
democracy,3.2581,1.7407,31,3.5455,1.9554,33,5.1724,1.6830,29
democratic,2.7647,1.6814,34,3.3143,1.9679,35,4.8387,1.7057,31
demolish,5.1429,1.6413,35,5.4706,1.6492,34,5.3333,1.6600,30
demon,3.7576,2.2834,33,5.7500,1.4142,32,5.5000,1.5000,30
dense,3.8750,1.7810,32,3.7500,1.8540,32,4.8571,1.3553,28
dentist,6.3548,0.9349,31,6.4063,1.1689,32,5.9375,1.4348,32
depress,3.1563,1.6029,32,3.0333,1.3780,30,5.2581,1.4804,31
depressed,3.0294,1.7903,34,3.4412,1.9881,34,5.9706,1.1242,34
depression,2.9394,1.6132,33,3.6875,1.8103,32,6.1000,0.9434,30
derelict,4.4839,1.5423,31,4.9355,1.5226,31,4.0000,1.9384,33
descend,3.6765,1.3443,34,4.0000,1.7753,33,4.9032,1.6135,31
descent,3.4706,1.7529,34,4.1818,1.6041,33,4.2424,1.7061,33
describe,2.8529,1.3961,34,3.1176,1.3883,34,6.1034,0.9593,29
description,2.9697,1.4457,33,2.7941,1.6939,34,6.0313,1.3106,32
desert,6.0968,1.4448,31,6.2188,1.2926,32,5.4828,1.4293,29
deserve,1.9091,0.7533,33,2.4412,1.2647,34,5.8621,1.2240,29
deserving,2.6875,1.2359,32,2.6667,1.5308,33,5.1818,1.3586,33
design,3.4706,1.6844,34,4.0938,1.6651,32,5.5172,1.2763,29
designer,4.5806,1.6417,31,4.0000,1.8316,31,5.2593,1.4553,27
desirable,2.8065,1.5117,31,4.2903,1.7633,31,5.5517,1.5885,29
desire,2.5758,1.6149,33,3.0313,1.7408,32,5.5385,1.4473,26
desk,6.6957,0.5465,23,6.4783,0.9264,23,6.5200,0.8542,25
desks,6.5185,0.8331,27,6.7500,0.4330,28,5.9615,0.9798,26
desolate,2.8235,1.2712,34,3.3939,1.8900,33,3.4333,1.5850,30
despair,3.0645,1.9333,31,3.7059,1.9179,34,5.0667,1.6111,30
desperate,2.3333,1.4907,33,3.3125,1.9111,32,6.0000,1.2649,30
desperation,2.0909,1.1379,33,3.0000,1.5954,33,4.7500,1.6202,32
despise,2.3438,0.9877,32,2.9032,1.5731,31,4.7241,1.5734,29
dessert,6.1765,1.0424,34,6.5714,0.6452,35,6.1471,1.3748,34
destination,4.0909,1.6397,33,4.3030,1.6603,33,5.8000,0.9798,30
destiny,2.0000,1.5339,34,2.4688,1.7675,32,5.1333,1.6879,30
destroy,3.9429,1.6893,35,3.9714,1.9196,35,5.6774,1.4455,31
destroyer,4.0882,1.9000,34,4.0303,2.0373,33,4.3235,1.9959,34
destruction,4.3235,1.7776,34,5.3143,1.4691,35,5.0303,1.6964,33
detach,3.8750,1.7984,32,3.3030,1.8665,33,4.7879,1.8871,33
detached,3.0286,1.7152,35,3.3429,1.7557,35,4.5152,1.4999,33
detail,3.6471,1.5882,34,3.6857,1.6348,35,6.0313,1.3343,32
detailed,3.6667,1.2737,30,3.5484,1.6232,31,5.8276,1.3149,29
determination,2.1563,1.2774,32,3.0000,1.4951,34,5.7308,1.3173,26
determine,2.8824,1.3232,34,2.7941,1.7283,34,5.3750,1.6724,32
determined,2.8923,1.5799,65,3.2769,1.7673,65,6.2586,0.9203,58
detest,2.3939,1.3470,33,2.9310,1.6801,29,4.5185,1.5244,27
detonate,4.7419,1.3433,31,4.6667,1.8318,30,4.3793,1.5180,29
detonation,4.6061,1.8413,33,4.6452,1.6953,31,4.0000,1.9664,30
develop,2.7813,1.3860,32,3.2188,1.4945,32,5.6129,1.3837,31
development,3.5625,1.4564,32,3.4194,1.6019,31,6.0323,0.9995,31
deviant,3.2353,1.4962,34,2.9091,1.6397,33,4.2903,1.7263,31
deviation,2.7500,1.5411,32,2.7813,1.5956,32,4.5152,1.6166,33
device,5.2571,1.7943,35,5.0000,1.7987,34,5.8438,1.0929,32
devil,2.9677,1.9258,31,5.0000,1.5086,29,4.7857,1.7999,28
devise,3.0294,1.5046,34,2.9394,1.5558,33,4.7419,1.8486,31
devote,2.7647,1.3945,34,3.2121,1.4090,33,4.7188,1.5049,32
devoted,2.9706,1.6536,34,3.1176,1.5485,34,5.2069,1.7885,29
devotion,2.5882,1.5362,34,3.2353,1.5351,34,5.5862,1.0673,29
diabetes,4.3333,1.8035,33,2.4063,1.3661,32,4.9333,1.6316,30
diamond,6.8000,0.4761,30,6.6667,0.9775,30,5.1600,2.0333,25
diamonds,6.7576,0.5521,33,6.7813,0.4831,32,5.7097,1.4186,31
dice,6.5000,0.6814,28,6.3704,0.9869,27,4.9167,1.7300,24
dictionary,6.3939,1.0714,33,6.2500,1.3919,32,5.4483,1.6313,29
die,4.7059,2.1078,34,4.6765,1.7273,34,6.1613,1.2207,31
died,5.1875,1.8781,32,5.0625,1.8864,32,6.4333,0.9551,30
diffusion,4.0000,1.5492,35,3.3636,1.7024,33,4.0313,1.9919,32
digest,4.8788,1.4721,33,3.5882,1.4974,34,5.5000,1.4083,30
digestion,5.2813,1.3284,32,4.9697,1.6964,33,5.8000,1.3266,30
digit,4.9412,1.7311,34,4.9118,1.6692,34,4.8750,1.5562,32
