word,sliderResponse,condition
mirror,55,concrete
train,44,concrete
passion,70,concrete
panther,67,concrete
reality,35,abstract
bracelet,58,abstract
magic,74,abstract
bracelet,22,abstract
magic,24,abstract
diner,23,abstract
mirror,62,concrete
anxiety,9,abstract
trouble,71,concrete
cabinet,66,concrete
badger,76,concrete
magazine,18,abstract
misconception,33,abstract
notion,38,abstract
communication,37,abstract
bus,70,concrete
modesty,45,abstract
misconception,21,abstract
tree,97,concrete
cabinet,58,concrete
tree,89,concrete
freedom,69,concrete
democracy,32,concrete
panther,99,concrete
tie,49,abstract
magic,16,abstract
bus,3,concrete
shyness,70,abstract
communication,72,abstract
badger,16,concrete
tree,88,concrete
mirror,55,concrete
tie,8,abstract
anxiety,82,abstract
sanity,68,abstract
flag,4,concrete
reality,28,abstract
kangaroo,90,concrete
train,56,concrete
weariness,7,abstract
elegance,42,abstract
anxiety,53,abstract
panther,94,concrete
magazine,35,abstract
elegance,74,abstract
passion,63,concrete
apple,75,concrete
regret,43,abstract
tree,68,concrete
elegance,45,abstract
bunkbed,38,abstract
jeans,53,concrete
elegance,12,abstract
panther,69,concrete
noun,59,abstract
randomness,14,abstract
freedom,50,concrete
panther,43,concrete
anxiety,18,abstract
regret,9,abstract
kangaroo,85,concrete
weariness,27,abstract
cabinet,58,concrete
communication,60,abstract
badger,23,concrete
flag,73,concrete
discomfort,79,abstract
needle,69,concrete
mirror,58,concrete
jeans,69,concrete
discomfort,71,abstract
shyness,24,abstract
sanity,58,abstract
communication,11,abstract
trouble,71,concrete
shyness,41,abstract
trouble,38,concrete
reality,45,abstract
notion,67,abstract
bunkbed,9,abstract
bread,49,concrete
magic,23,abstract
shyness,80,abstract
magic,70,abstract
modesty,24,abstract
shyness,66,abstract
dream,85,concrete
randomness,0,abstract
magic,54,abstract
train,36,concrete
diner,24,abstract
diner,14,abstract
apple,47,concrete
tree,68,concrete
freedom,90,concrete
trouble,86,concrete
passion,21,concrete
weariness,30,abstract
modesty,56,abstract
noun,23,abstract
dream,69,concrete
magic,19,abstract
reality,29,abstract
toast,0,concrete
freedom,37,concrete
apple,98,concrete
tie,16,abstract
tie,36,abstract
noun,39,abstract
skin,97,concrete
needle,3,concrete
magazine,61,abstract
bunkbed,35,abstract
diner,29,abstract
cabinet,76,concrete
diner,9,abstract
trouble,55,concrete
elegance,9,abstract
regret,7,abstract
communication,39,abstract
magazine,15,abstract
flag,41,concrete
sanity,79,abstract
misconception,15,abstract
bracelet,61,abstract
modesty,43,abstract
tree,68,concrete
misconception,13,abstract
democracy,53,concrete
jeans,78,concrete
train,42,concrete
noun,10,abstract
bread,38,concrete
weariness,36,abstract
freedom,90,concrete
weariness,77,abstract
shyness,6,abstract
modesty,47,abstract
panther,86,concrete
bus,99,concrete
jeans,64,concrete
notion,17,abstract
flag,93,concrete
jeans,77,concrete
randomness,18,abstract
sanity,18,abstract
skin,55,concrete
toast,79,concrete
misconception,36,abstract
freedom,58,concrete
dream,44,concrete
bunkbed,41,abstract
regret,21,abstract
dream,32,concrete
mirror,56,concrete
toast,51,concrete
tree,99,concrete
randomness,24,abstract
bracelet,24,abstract
notion,26,abstract
apple,63,concrete
tree,97,concrete
tie,9,abstract
discomfort,28,abstract
bus,80,concrete
elegance,79,abstract
discomfort,17,abstract
badger,87,concrete
toast,55,concrete
freedom,39,concrete
democracy,57,concrete
magazine,7,abstract
panther,64,concrete
randomness,17,abstract
flag,73,concrete
needle,85,concrete
mirror,42,concrete
cabinet,5,concrete
bread,60,concrete
reality,10,abstract
shyness,41,abstract
passion,55,concrete
magic,24,abstract
trouble,79,concrete
mirror,42,concrete
notion,57,abstract
passion,56,concrete
needle,41,concrete
needle,44,concrete
misconception,22,abstract
train,46,concrete
bread,67,concrete
noun,14,abstract
tie,20,abstract
skin,62,concrete
bunkbed,67,abstract
kangaroo,32,concrete
skin,93,concrete
noun,46,abstract
magic,97,abstract
magazine,22,abstract
badger,39,concrete
shyness,52,abstract
reality,44,abstract
badger,84,concrete
cabinet,57,concrete
notion,24,abstract
bus,92,concrete
magic,47,abstract
elegance,74,abstract
sanity,100,abstract
toast,51,concrete
kangaroo,51,concrete
skin,23,concrete
panther,38,concrete
toast,80,concrete
anxiety,37,abstract
jeans,73,concrete
magazine,26,abstract
discomfort,67,abstract
communication,23,abstract
bus,77,concrete
tree,96,concrete
trouble,32,concrete
communication,17,abstract
sanity,25,abstract
flag,60,concrete
discomfort,65,abstract
regret,44,abstract
democracy,22,concrete
trouble,80,concrete
weariness,21,abstract
anxiety,27,abstract
needle,64,concrete
bread,92,concrete
apple,82,concrete
badger,26,concrete
bread,32,concrete
bunkbed,11,abstract
bracelet,34,abstract
weariness,12,abstract
bunkbed,46,abstract
tie,31,abstract
cabinet,27,concrete
bus,67,concrete
toast,79,concrete
skin,46,concrete
diner,14,abstract
anxiety,10,abstract
discomfort,62,abstract
discomfort,70,abstract
diner,22,abstract
regret,27,abstract
modesty,3,abstract
kangaroo,68,concrete
randomness,11,abstract
mirror,45,concrete
jeans,80,concrete
tree,88,concrete
reality,66,abstract
bunkbed,12,abstract
diner,78,abstract
dream,71,concrete
tie,67,abstract
kangaroo,25,concrete
kangaroo,66,concrete
randomness,64,abstract
magic,6,abstract
freedom,28,concrete
apple,22,concrete
toast,38,concrete
shyness,33,abstract
sanity,22,abstract
magic,74,abstract
regret,56,abstract
flag,36,concrete
diner,58,abstract
mirror,37,concrete
needle,56,concrete
bread,52,concrete
weariness,96,abstract
elegance,42,abstract
cabinet,71,concrete
panther,30,concrete
discomfort,16,abstract
jeans,82,concrete
bunkbed,43,abstract
kangaroo,17,concrete
elegance,58,abstract
weariness,7,abstract
bracelet,5,abstract
bracelet,40,abstract
train,21,concrete
misconception,12,abstract
train,39,concrete
magazine,1,abstract
democracy,59,concrete
skin,70,concrete
dream,13,concrete
skin,35,concrete
passion,23,concrete
dream,86,concrete
randomness,3,abstract
toast,59,concrete
regret,42,abstract
badger,53,concrete
mirror,73,concrete
reality,9,abstract
jeans,60,concrete
flag,47,concrete
notion,33,abstract
freedom,10,concrete
tree,97,concrete
passion,57,concrete
cabinet,19,concrete
magic,83,abstract
democracy,70,concrete
trouble,36,concrete
needle,75,concrete
passion,87,concrete
mirror,30,concrete
jeans,50,concrete
misconception,76,abstract
needle,57,concrete
jeans,93,concrete
sanity,8,abstract
noun,62,abstract
bus,81,concrete
bracelet,31,abstract
dream,2,concrete
notion,6,abstract
notion,9,abstract
bread,64,concrete
bread,25,concrete
weariness,63,abstract
trouble,92,concrete
passion,59,concrete
diner,32,abstract
modesty,43,abstract
diner,78,abstract
magazine,25,abstract
sanity,8,abstract
magazine,7,abstract
tree,60,concrete
randomness,24,abstract
panther,31,concrete
freedom,91,concrete
weariness,60,abstract
discomfort,78,abstract
communication,6,abstract
cabinet,14,concrete
train,76,concrete
noun,5,abstract
skin,67,concrete
trouble,75,concrete
needle,51,concrete
tree,56,concrete
apple,52,concrete
modesty,29,abstract
jeans,87,concrete
shyness,33,abstract
regret,20,abstract
needle,20,concrete
elegance,33,abstract
magic,72,abstract
train,59,concrete
communication,82,abstract
apple,84,concrete
misconception,9,abstract
bunkbed,85,abstract
badger,71,concrete
anxiety,16,abstract
skin,91,concrete
elegance,16,abstract
noun,13,abstract
misconception,24,abstract
flag,90,concrete
democracy,74,concrete
communication,16,abstract
notion,21,abstract
magazine,79,abstract
democracy,53,concrete
tie,58,abstract
shyness,78,abstract
kangaroo,75,concrete
reality,69,abstract
panther,98,concrete
freedom,73,concrete
randomness,73,abstract
communication,29,abstract
tie,72,abstract
sanity,78,abstract
bracelet,20,abstract
magic,86,abstract
flag,68,concrete
shyness,27,abstract
anxiety,73,abstract
weariness,80,abstract
skin,49,concrete
misconception,22,abstract
noun,23,abstract
anxiety,83,abstract
randomness,31,abstract
modesty,67,abstract
weariness,1,abstract
notion,79,abstract
freedom,28,concrete
democracy,87,concrete
modesty,23,abstract
apple,86,concrete
elegance,13,abstract
discomfort,78,abstract
noun,9,abstract
dream,57,concrete
mirror,91,concrete
bus,76,concrete
cabinet,61,concrete
bracelet,55,abstract
shyness,19,abstract
skin,57,concrete
regret,40,abstract
bread,87,concrete
badger,75,concrete
toast,53,concrete
sanity,37,abstract
train,20,concrete
bus,84,concrete
magazine,10,abstract
tie,27,abstract
modesty,70,abstract
reality,85,abstract
notion,1,abstract
shyness,69,abstract
freedom,85,concrete
passion,8,concrete
freedom,55,concrete
tree,77,concrete
cabinet,86,concrete
toast,27,concrete
trouble,90,concrete
needle,23,concrete
reality,40,abstract
kangaroo,88,concrete
cabinet,22,concrete
notion,2,abstract
bunkbed,8,abstract
jeans,61,concrete
apple,84,concrete
magazine,6,abstract
bus,99,concrete
modesty,84,abstract
bread,34,concrete
bread,65,concrete
badger,59,concrete
toast,77,concrete
randomness,23,abstract
communication,20,abstract
flag,68,concrete
reality,29,abstract
bunkbed,9,abstract
reality,27,abstract
badger,84,concrete
misconception,44,abstract
diner,2,abstract
sanity,60,abstract
elegance,69,abstract
regret,82,abstract
trouble,75,concrete
toast,67,concrete
democracy,42,concrete
sanity,27,abstract
tie,78,abstract
discomfort,96,abstract
magic,12,abstract
train,22,concrete
apple,62,concrete
misconception,80,abstract
randomness,4,abstract
kangaroo,39,concrete
magazine,15,abstract
tie,11,abstract
anxiety,70,abstract
passion,70,concrete
bus,100,concrete
noun,57,abstract
elegance,74,abstract
dream,21,concrete
jeans,67,concrete
cabinet,60,concrete
regret,66,abstract
diner,46,abstract
trouble,49,concrete
tree,86,concrete
modesty,52,abstract
bus,83,concrete
reality,67,abstract
discomfort,40,abstract
sanity,53,abstract
panther,77,concrete
flag,21,concrete
cabinet,77,concrete
jeans,62,concrete
modesty,56,abstract
tree,61,concrete
trouble,18,concrete
dream,77,concrete
apple,56,concrete
weariness,83,abstract
regret,86,abstract
bracelet,3,abstract
notion,58,abstract
democracy,66,concrete
anxiety,22,abstract
trouble,91,concrete
badger,60,concrete
modesty,47,abstract
bracelet,80,abstract
dream,56,concrete
reality,10,abstract
randomness,71,abstract
magic,90,abstract
badger,21,concrete
flag,57,concrete
train,81,concrete
randomness,69,abstract
toast,44,concrete
sanity,96,abstract
discomfort,24,abstract
bunkbed,28,abstract
cabinet,79,concrete
regret,67,abstract
shyness,46,abstract
mirror,24,concrete
train,68,concrete
kangaroo,74,concrete
toast,59,concrete
anxiety,12,abstract
magic,72,abstract
reality,42,abstract
apple,57,concrete
needle,18,concrete
reality,53,abstract
magazine,55,abstract
notion,25,abstract
panther,91,concrete
weariness,59,abstract
mirror,55,concrete
train,71,concrete
bread,28,concrete
misconception,47,abstract
notion,35,abstract
needle,57,concrete
notion,62,abstract
shyness,36,abstract
badger,61,concrete
notion,82,abstract
passion,61,concrete
passion,55,concrete
passion,100,concrete
democracy,4,concrete
panther,40,concrete
bracelet,77,abstract
tie,37,abstract
elegance,46,abstract
bracelet,44,abstract
sanity,57,abstract
diner,60,abstract
bread,83,concrete
bread,57,concrete
bracelet,26,abstract
democracy,41,concrete
jeans,64,concrete
tree,65,concrete
passion,37,concrete
communication,56,abstract
bracelet,55,abstract
bus,55,concrete
elegance,60,abstract
shyness,68,abstract
cabinet,32,concrete
anxiety,88,abstract
train,37,concrete
elegance,100,abstract
trouble,12,concrete
apple,59,concrete
cabinet,60,concrete
bunkbed,20,abstract
dream,78,concrete
freedom,64,concrete
diner,13,abstract
randomness,64,abstract
trouble,67,concrete
misconception,60,abstract
noun,5,abstract
regret,81,abstract
magic,23,abstract
skin,77,concrete
passion,60,concrete
cabinet,82,concrete
freedom,52,concrete
bus,36,concrete
shyness,9,abstract
communication,61,abstract
anxiety,66,abstract
mirror,100,concrete
magazine,45,abstract
toast,74,concrete
skin,53,concrete
misconception,11,abstract
bread,85,concrete
kangaroo,96,concrete
misconception,67,abstract
badger,79,concrete
noun,53,abstract
tree,67,concrete
reality,70,abstract
weariness,68,abstract
communication,25,abstract
bunkbed,13,abstract
tie,4,abstract
mirror,67,concrete
shyness,58,abstract
bread,73,concrete
flag,59,concrete
needle,66,concrete
magazine,32,abstract
bunkbed,73,abstract
kangaroo,35,concrete
magic,2,abstract
trouble,59,concrete
flag,74,concrete
sanity,79,abstract
train,40,concrete
discomfort,69,abstract
apple,57,concrete
flag,77,concrete
reality,72,abstract
dream,2,concrete
mirror,54,concrete
shyness,79,abstract
passion,65,concrete
passion,49,concrete
weariness,52,abstract
communication,62,abstract
discomfort,78,abstract
apple,46,concrete
weariness,32,abstract
dream,68,concrete
freedom,70,concrete
apple,73,concrete
democracy,80,concrete
noun,15,abstract
discomfort,64,abstract
skin,65,concrete
magic,77,abstract
mirror,78,concrete
regret,21,abstract
randomness,61,abstract
shyness,62,abstract
train,64,concrete
diner,3,abstract
badger,18,concrete
bus,69,concrete
bread,75,concrete
bracelet,79,abstract
anxiety,62,abstract
magazine,84,abstract
panther,92,concrete
needle,28,concrete
tie,69,abstract
jeans,97,concrete
panther,70,concrete
anxiety,77,abstract
noun,74,abstract
panther,79,concrete
modesty,81,abstract
anxiety,64,abstract
modesty,21,abstract
cabinet,83,concrete
misconception,6,abstract
magic,27,abstract
flag,74,concrete
toast,80,concrete
bus,80,concrete
bus,77,concrete
dream,75,concrete
freedom,4,concrete
flag,86,concrete
freedom,74,concrete
passion,74,concrete
skin,86,concrete
bunkbed,65,abstract
jeans,96,concrete
tie,66,abstract
tree,69,concrete
tree,67,concrete
modesty,84,abstract
bunkbed,34,abstract
tree,61,concrete
democracy,71,concrete
dream,82,concrete
bus,55,concrete
toast,71,concrete
bracelet,61,abstract
regret,69,abstract
needle,37,concrete
shyness,30,abstract
panther,100,concrete
freedom,55,concrete
tie,72,abstract
diner,39,abstract
panther,73,concrete
bracelet,26,abstract
weariness,19,abstract
democracy,54,concrete
elegance,77,abstract
modesty,80,abstract
dream,67,concrete
noun,39,abstract
weariness,7,abstract
elegance,49,abstract
kangaroo,74,concrete
tree,77,concrete
flag,6,concrete
toast,74,concrete
skin,32,concrete
communication,56,abstract
tie,74,abstract
diner,79,abstract
shyness,74,abstract
communication,61,abstract
toast,40,concrete
dream,73,concrete
bunkbed,37,abstract
randomness,3,abstract
noun,71,abstract
notion,64,abstract
magazine,4,abstract
badger,20,concrete
misconception,35,abstract
kangaroo,80,concrete
anxiety,70,abstract
misconception,71,abstract
democracy,81,concrete
discomfort,65,abstract
train,79,concrete
sanity,8,abstract
apple,100,concrete
mirror,44,concrete
mirror,66,concrete
tie,71,abstract
apple,73,concrete
skin,22,concrete
tie,58,abstract
cabinet,72,concrete
freedom,44,concrete
dream,54,concrete
bracelet,73,abstract
elegance,91,abstract
kangaroo,3,concrete
misconception,8,abstract
bracelet,73,abstract
tree,52,concrete
badger,72,concrete
sanity,22,abstract
magic,61,abstract
sanity,63,abstract
discomfort,7,abstract
tree,81,concrete
jeans,75,concrete
weariness,77,abstract
trouble,73,concrete
notion,3,abstract
randomness,2,abstract
skin,63,concrete
bread,22,concrete
skin,75,concrete
reality,65,abstract
panther,78,concrete
misconception,11,abstract
regret,4,abstract
diner,71,abstract
regret,51,abstract
mirror,3,concrete
needle,69,concrete
noun,12,abstract
needle,67,concrete
cabinet,54,concrete
passion,64,concrete
communication,2,abstract
reality,4,abstract
kangaroo,73,concrete
communication,73,abstract
discomfort,7,abstract
tie,11,abstract
jeans,55,concrete
modesty,66,abstract
jeans,56,concrete
bracelet,27,abstract
sanity,69,abstract
sanity,3,abstract
modesty,2,abstract
badger,64,concrete
noun,1,abstract
discomfort,9,abstract
badger,31,concrete
panther,67,concrete
communication,23,abstract
democracy,0,concrete
kangaroo,21,concrete
notion,2,abstract
reality,29,abstract
jeans,80,concrete
mirror,67,concrete
misconception,5,abstract
shyness,37,abstract
train,41,concrete
magazine,0,abstract
freedom,19,concrete
magazine,65,abstract
panther,19,concrete
jeans,66,concrete
trouble,2,concrete
regret,8,abstract
bread,67,concrete
freedom,82,concrete
bus,93,concrete
elegance,29,abstract
anxiety,74,abstract
magic,5,abstract
bus,70,concrete
trouble,9,concrete
sanity,23,abstract
reality,14,abstract
magic,34,abstract
communication,13,abstract
apple,65,concrete
needle,65,concrete
magazine,8,abstract
randomness,63,abstract
tree,75,concrete
toast,17,concrete
misconception,11,abstract
badger,62,concrete
diner,52,abstract
dream,5,concrete
regret,62,abstract
discomfort,9,abstract
democracy,36,concrete
kangaroo,82,concrete
notion,7,abstract
kangaroo,60,concrete
regret,72,abstract
dream,8,concrete
noun,69,abstract
democracy,21,concrete
elegance,74,abstract
anxiety,44,abstract
jeans,76,concrete
trouble,50,concrete
bread,33,concrete
panther,69,concrete
train,66,concrete
randomness,28,abstract
train,16,concrete
regret,69,abstract
magazine,7,abstract
notion,19,abstract
freedom,73,concrete
weariness,35,abstract
skin,29,concrete
anxiety,84,abstract
tree,98,concrete
flag,76,concrete
badger,33,concrete
skin,45,concrete
randomness,34,abstract
panther,100,concrete
magic,20,abstract
flag,76,concrete
democracy,50,concrete
misconception,66,abstract
diner,7,abstract
tree,74,concrete
misconception,4,abstract
dream,24,concrete
cabinet,50,concrete
freedom,31,concrete
regret,7,abstract
trouble,68,concrete
needle,45,concrete
magazine,58,abstract
bus,70,concrete
passion,91,concrete
elegance,31,abstract
tie,27,abstract
passion,94,concrete
panther,94,concrete
bunkbed,74,abstract
weariness,14,abstract
tree,49,concrete
magic,52,abstract
shyness,14,abstract
mirror,76,concrete
cabinet,65,concrete
train,33,concrete
bus,63,concrete
skin,48,concrete
needle,8,concrete
modesty,56,abstract
randomness,4,abstract
dream,45,concrete
randomness,2,abstract
shyness,78,abstract
elegance,35,abstract
democracy,74,concrete
regret,68,abstract
needle,53,concrete
elegance,71,abstract
magic,59,abstract
democracy,58,concrete
bread,22,concrete
discomfort,37,abstract
train,46,concrete
train,59,concrete
discomfort,31,abstract
train,16,concrete
passion,68,concrete
bus,75,concrete
cabinet,61,concrete
tie,8,abstract
kangaroo,61,concrete
bunkbed,66,abstract
shyness,66,abstract
reality,47,abstract
weariness,7,abstract
flag,38,concrete
mirror,11,concrete
noun,67,abstract
elegance,63,abstract
sanity,29,abstract
tree,68,concrete
anxiety,8,abstract
needle,18,concrete
notion,27,abstract
diner,11,abstract
panther,67,concrete
anxiety,59,abstract
bracelet,12,abstract
bunkbed,43,abstract
apple,74,concrete
apple,68,concrete
communication,35,abstract
train,48,concrete
cabinet,68,concrete
skin,3,concrete
badger,37,concrete
bread,69,concrete
panther,70,concrete
trouble,56,concrete
mirror,73,concrete
jeans,71,concrete
democracy,46,concrete
toast,79,concrete
magazine,10,abstract
magazine,44,abstract
anxiety,6,abstract
freedom,11,concrete
passion,19,concrete
bread,84,concrete
cabinet,43,concrete
bunkbed,12,abstract
jeans,93,concrete
notion,16,abstract
noun,11,abstract
reality,17,abstract
elegance,30,abstract
mirror,4,concrete
toast,24,concrete
diner,57,abstract
kangaroo,100,concrete
modesty,33,abstract
magic,20,abstract
randomness,43,abstract
badger,11,concrete
tie,12,abstract
needle,86,concrete
flag,58,concrete
apple,97,concrete
misconception,77,abstract
modesty,17,abstract
misconception,56,abstract
badger,27,concrete
cabinet,13,concrete
reality,42,abstract
jeans,93,concrete
bracelet,47,abstract
apple,28,concrete
sanity,75,abstract
reality,2,abstract
kangaroo,96,concrete
noun,40,abstract
shyness,26,abstract
flag,20,concrete
noun,4,abstract
weariness,33,abstract
kangaroo,74,concrete
trouble,5,concrete
bracelet,17,abstract
weariness,21,abstract
passion,59,concrete
tie,41,abstract
bunkbed,1,abstract
communication,8,abstract
badger,33,concrete
mirror,95,concrete
democracy,77,concrete
diner,41,abstract
bunkbed,15,abstract
modesty,24,abstract
dream,66,concrete
bus,84,concrete
reality,7,abstract
discomfort,21,abstract
flag,17,concrete
communication,66,abstract
freedom,88,concrete
train,40,concrete
freedom,41,concrete
elegance,15,abstract
bunkbed,66,abstract
notion,1,abstract
badger,82,concrete
bread,41,concrete
sanity,37,abstract
diner,28,abstract
bread,49,concrete
skin,76,concrete
bracelet,24,abstract
anxiety,6,abstract
modesty,70,abstract
flag,90,concrete
randomness,29,abstract
trouble,90,concrete
sanity,8,abstract
badger,85,concrete
toast,56,concrete
shyness,11,abstract
notion,2,abstract
shyness,53,abstract
apple,77,concrete
diner,32,abstract
communication,11,abstract
democracy,9,concrete
skin,49,concrete
elegance,16,abstract
discomfort,7,abstract
misconception,27,abstract
magic,27,abstract
notion,4,abstract
passion,79,concrete
anxiety,8,abstract
noun,76,abstract
tie,65,abstract
tie,10,abstract
randomness,1,abstract
tree,86,concrete
apple,94,concrete
magazine,84,abstract
bread,76,concrete
tree,47,concrete
trouble,25,concrete
passion,72,concrete
regret,17,abstract
toast,69,concrete
mirror,84,concrete
regret,6,abstract
passion,57,concrete
notion,28,abstract
discomfort,7,abstract
weariness,14,abstract
dream,84,concrete
weariness,13,abstract
panther,72,concrete
needle,85,concrete
modesty,62,abstract
shyness,59,abstract
weariness,14,abstract
mirror,77,concrete
bunkbed,30,abstract
magic,14,abstract
regret,33,abstract
communication,63,abstract
magic,60,abstract
toast,32,concrete
bus,100,concrete
bracelet,8,abstract
dream,66,concrete
apple,83,concrete
cabinet,38,concrete
randomness,43,abstract
trouble,66,concrete
magic,9,abstract
bracelet,66,abstract
sanity,41,abstract
panther,58,concrete
flag,53,concrete
discomfort,9,abstract
tie,36,abstract
modesty,6,abstract
trouble,12,concrete
needle,37,concrete
modesty,4,abstract
kangaroo,72,concrete
democracy,51,concrete
jeans,77,concrete
panther,76,concrete
elegance,66,abstract
bread,89,concrete
jeans,81,concrete
needle,24,concrete
randomness,29,abstract
weariness,56,abstract
cabinet,60,concrete
kangaroo,70,concrete
bus,96,concrete
anxiety,72,abstract
magazine,52,abstract
bracelet,64,abstract
diner,32,abstract
tie,8,abstract
mirror,87,concrete
toast,28,concrete
tree,91,concrete
flag,27,concrete
freedom,60,concrete
flag,63,concrete
communication,9,abstract
skin,80,concrete
freedom,13,concrete
cabinet,54,concrete
communication,67,abstract
bread,15,concrete
magazine,15,abstract
toast,80,concrete
dream,9,concrete
reality,0,abstract
misconception,34,abstract
sanity,0,abstract
noun,7,abstract
magazine,69,abstract
shyness,3,abstract
jeans,92,concrete
misconception,2,abstract
train,38,concrete
dream,0,concrete
reality,63,abstract
bus,93,concrete
weariness,0,abstract
bus,86,concrete
noun,1,abstract
skin,12,concrete
train,16,concrete
apple,91,concrete
elegance,0,abstract
tree,96,concrete
badger,62,concrete
regret,0,abstract
skin,1,concrete
needle,79,concrete
bunkbed,1,abstract
sanity,57,abstract
apple,98,concrete
diner,1,abstract
freedom,79,concrete
toast,88,concrete
modesty,47,abstract
trouble,74,concrete
tie,42,abstract
anxiety,59,abstract
dream,50,concrete
diner,64,abstract
communication,0,abstract
bracelet,80,abstract
discomfort,41,abstract
randomness,0,abstract
panther,85,concrete
kangaroo,63,concrete
skin,30,concrete
kangaroo,62,concrete
flag,36,concrete
notion,8,abstract
discomfort,38,abstract
misconception,0,abstract
magic,27,abstract
panther,54,concrete
bus,48,concrete
sanity,13,abstract
cabinet,62,concrete
shyness,18,abstract
mirror,0,concrete
regret,44,abstract
passion,35,concrete
anxiety,0,abstract
passion,74,concrete
randomness,3,abstract
toast,12,concrete
badger,89,concrete
reality,2,abstract
magic,0,abstract
trouble,47,concrete
needle,5,concrete
sanity,52,abstract
magazine,0,abstract
misconception,32,abstract
kangaroo,59,concrete
apple,46,concrete
train,18,concrete
diner,11,abstract
noun,3,abstract
trouble,10,concrete
bunkbed,65,abstract
toast,78,concrete
notion,0,abstract
badger,12,concrete
train,40,concrete
dream,34,concrete
democracy,2,concrete
magazine,1,abstract
anxiety,65,abstract
modesty,14,abstract
communication,47,abstract
jeans,54,concrete
panther,76,concrete
bunkbed,0,abstract
needle,52,concrete
noun,28,abstract
noun,22,abstract
bread,78,concrete
bracelet,0,abstract
jeans,89,concrete
reality,25,abstract
freedom,11,concrete
regret,35,abstract
mirror,8,concrete
train,9,concrete
tree,41,concrete
misconception,1,abstract
mirror,78,concrete
shyness,10,abstract
cabinet,11,concrete
apple,64,concrete
bread,62,concrete
freedom,5,concrete
tie,37,abstract
communication,2,abstract
notion,3,abstract
diner,0,abstract
democracy,7,concrete
reality,3,abstract
elegance,53,abstract
diner,0,abstract
cabinet,35,concrete
flag,51,concrete
toast,1,concrete
discomfort,26,abstract
bunkbed,60,abstract
apple,38,concrete
weariness,56,abstract
bus,85,concrete
bracelet,5,abstract
notion,2,abstract
tree,89,concrete
tie,20,abstract
panther,54,concrete
modesty,25,abstract
tree,76,concrete
freedom,38,concrete
notion,14,abstract
freedom,65,concrete
dream,14,concrete
democracy,42,concrete
shyness,43,abstract
passion,60,concrete
elegance,21,abstract
regret,21,abstract
jeans,55,concrete
bus,34,concrete
skin,66,concrete
diner,25,abstract
bracelet,38,abstract
mirror,71,concrete
weariness,1,abstract
badger,35,concrete
panther,7,concrete
discomfort,43,abstract
elegance,28,abstract
randomness,43,abstract
jeans,59,concrete
bracelet,38,abstract
mirror,54,concrete
badger,62,concrete
noun,67,abstract
magic,26,abstract
passion,56,concrete
tie,55,abstract
randomness,3,abstract
skin,22,concrete
jeans,100,concrete
tie,41,abstract
bracelet,28,abstract
bread,6,concrete
kangaroo,28,concrete
panther,42,concrete
needle,90,concrete
communication,1,abstract
democracy,61,concrete
toast,26,concrete
kangaroo,64,concrete
sanity,75,abstract
toast,45,concrete
badger,11,concrete
bunkbed,21,abstract
needle,6,concrete
shyness,5,abstract
cabinet,16,concrete
modesty,73,abstract
weariness,38,abstract
jeans,56,concrete
kangaroo,57,concrete
misconception,15,abstract
sanity,4,abstract
mirror,9,concrete
bus,39,concrete
mirror,20,concrete
trouble,77,concrete
needle,29,concrete
train,30,concrete
toast,71,concrete
apple,59,concrete
trouble,42,concrete
communication,5,abstract
magic,21,abstract
magazine,24,abstract
cabinet,53,concrete
train,100,concrete
misconception,5,abstract
democracy,61,concrete
communication,31,abstract
modesty,5,abstract
dream,3,concrete
bread,54,concrete
apple,37,concrete
passion,23,concrete
shyness,60,abstract
tree,59,concrete
magazine,30,abstract
dream,6,concrete
panther,95,concrete
bus,82,concrete
apple,84,concrete
discomfort,31,abstract
bunkbed,7,abstract
regret,9,abstract
noun,21,abstract
bunkbed,35,abstract
flag,46,concrete
randomness,25,abstract
tree,68,concrete
apple,100,concrete
train,45,concrete
notion,6,abstract
sanity,20,abstract
noun,3,abstract
weariness,20,abstract
notion,85,abstract
cabinet,40,concrete
train,20,concrete
kangaroo,54,concrete
diner,30,abstract
mirror,97,concrete
sanity,9,abstract
reality,16,abstract
skin,33,concrete
flag,29,concrete
noun,6,abstract
trouble,19,concrete
freedom,98,concrete
regret,23,abstract
trouble,3,concrete
shyness,8,abstract
modesty,19,abstract
bread,74,concrete
magic,6,abstract
discomfort,84,abstract
flag,34,concrete
passion,73,concrete
elegance,4,abstract
weariness,19,abstract
elegance,36,abstract
passion,33,concrete
communication,19,abstract
modesty,31,abstract
magazine,87,abstract
regret,9,abstract
reality,5,abstract
anxiety,21,abstract
dream,17,concrete
elegance,5,abstract
modesty,7,abstract
passion,43,concrete
misconception,9,abstract
discomfort,4,abstract
freedom,61,concrete
trouble,18,concrete
bus,59,concrete
tie,2,abstract
magazine,10,abstract
needle,15,concrete
bread,36,concrete
jeans,65,concrete
communication,70,abstract
skin,91,concrete
anxiety,16,abstract
flag,21,concrete
toast,56,concrete
cabinet,30,concrete
democracy,85,concrete
bus,82,concrete
diner,10,abstract
flag,100,concrete
anxiety,7,abstract
notion,6,abstract
kangaroo,25,concrete
discomfort,19,abstract
bread,36,concrete
magazine,4,abstract
bunkbed,2,abstract
diner,34,abstract
weariness,5,abstract
tie,6,abstract
notion,47,abstract
noun,3,abstract
freedom,54,concrete
tree,78,concrete
skin,24,concrete
