word1,word2,JSdivergence
lemon,stomach,0.7391392762472844
lemon,mysterious,0.9131559203893639
lemon,regret,0.8855349059522677
lemon,equality,0.828283576184829
lemon,reality,0.6969048195441447
lemon,appearance,0.6977654883818831
lemon,modesty,0.8038582020795808
lemon,humiliation,0.7700958228599241
lemon,diner,0.7422825741034765
lemon,admiration,0.7555510609587401
lemon,hairdryer,0.8291156648764697
lemon,magic,0.7780070525674968
lemon,discretion,0.8571348284443494
lemon,notion,0.7625182118217865
lemon,sanity,0.7555342434647818
lemon,theory,0.7752141064619171
lemon,pheasant,0.7311427353054032
lemon,imagination,0.7435169270690374
lemon,reassurance,0.7880209078963076
lemon,opinion,0.7052396383178803
lemon,justice,0.7941465403248675
lemon,thoughtlessness,0.7855851129365659
lemon,gist,0.8226460139083085
lemon,elegance,0.8437359433954879
lemon,book,0.810091397074951
lemon,wisdom,0.791239047066353
lemon,gossip,0.7811901232458237
lemon,ego,0.7584054241195888
lemon,weariness,0.8161922531021094
lemon,obviousness,0.6950408567457991
lemon,purse,0.8170116424510105
lemon,diversity,0.8188232080843273
lemon,mansion,0.7231786614345688
lemon,magazine,0.8117017190177862
lemon,noun,0.7865312778242195
lemon,misconception,0.8589820009292088
lemon,peculiarity,0.7111903197387773
lemon,tendency,0.7604840773431933
lemon,obligation,0.8156291556731348
lemon,randomness,0.7306817096140333
lemon,oddity,0.7645313414694249
lemon,complexity,0.8529744498383229
lemon,responsibility,0.8089601017077244
lemon,absurdity,0.7863380882187414
sun,lemon,0.18874829784031685
sun,sun,0.0
sun,tomato,0.9103371554366342
sun,fire,0.6545046742554333
sun,apple,0.9032366541029808
sun,spinach,0.964708403783948
sun,vegetable,0.8198878599236272
sun,tree,0.9374476332827425
sun,daffodil,0.1998823110515161
sun,bone,0.8593259505017674
sun,rose,0.9366896992101067
sun,hell,0.8992454165985642
sun,chalk,0.9247566929741077
sun,bus,0.18820608755089457
sun,lobster,0.7802782973726776
sun,love,0.9036107971956682
sun,skin,0.662524813218122
sun,jeans,0.9411419574478717
sun,panther,0.8730769128735304
sun,inflamation,0.8377094079244014
sun,road,0.9438604499533123
sun,hate,0.9262629117307708
sun,cornflour,0.2836195054925517
sun,flesh,0.7359948931332893
sun,cigar,0.9018332367775681
sun,ocean,0.9245869096224266
sun,elephant,0.9601357400192698
sun,romance,0.9085352081593407
sun,toilet,0.9430404726795313
sun,moose,0.9288010473375984
sun,cockroach,0.9100361992811121
sun,bread,0.628419362817346
sun,toast,0.7152303712122183
sun,pain,0.8823622647236059
sun,weapon,0.9281117265895723
sun,mirror,0.8863916982570194
sun,grape,0.9305141459741462
sun,hill,0.909197648843195
sun,crab,0.7638495755437675
sun,flag,0.866616793732204
sun,belt,0.9002687128141924
sun,fork,0.8881942096854964
sun,revolt,0.8845922852396406
sun,berry,0.9010865856650868
sun,cow,0.8926704650208181
sun,passion,0.8282082691436412
sun,kangaroo,0.656684099423622
sun,trouble,0.8658959173032308
sun,viciousness,0.9045795848813234
sun,window,0.8527082250371639
sun,wilderness,0.8554472418920748
sun,rock,0.9492126082990859
sun,suit,0.921036164106765
sun,democracy,0.8555747787421317
sun,hammer,0.9527757339609548
sun,needle,0.8175235762874069
sun,iron,0.9269348797109918
sun,cabinet,0.858520827999065
sun,energy,0.40518880569794197
sun,fear,0.8163673352935316
sun,prune,0.8725413584862627
sun,sadness,0.9348549856023134
sun,happiness,0.4339912083292573
sun,tortoise,0.9151214862653251
sun,clarity,0.8195246595906007
sun,jealousy,0.883383690367989
sun,staple,0.8847759911071889
sun,joy,0.42421961394377977
sun,computer,0.9436792873085904
sun,dread,0.8879391561478825
sun,otter,0.9442986398660418
sun,stethoscope,0.8801515760395593
sun,heaven,0.760392658151711
sun,badger,0.9013878400676723
sun,tarantula,0.8789529527145039
sun,chair,0.8592537793571503
sun,tripod,0.8975599721510923
sun,glamour,0.7174862021939556
sun,embarrassment,0.8358380701069177
sun,defiance,0.7512790823412836
sun,success,0.6512478867718112
sun,razor,0.8576832753785485
sun,ache,0.8377110179399145
sun,butterfly,0.38959519024842104
sun,vagueness,0.8643678632980147
sun,microscope,0.8915280549934503
sun,suffering,0.8640781511998932
sun,earphones,0.8222158564398143
sun,robin,0.803945216250002
sun,unicorn,0.8028264232769142
sun,shoes,0.9161815754491085
sun,necklace,0.51564966800382
sun,leg,0.6585657358220764
sun,speed,0.6434540992496356
sun,train,0.8643238634911912
sun,barley,0.7221751702369947
sun,toe,0.7462721152524872
sun,canyon,0.6959358171536364
sun,ferret,0.8199805764849478
sun,desire,0.8153367073730962
sun,glee,0.42512468010014365
sun,freedom,0.7540538978105017
sun,disgust,0.870727936512126
sun,warehouse,0.8368008772168765
sun,fame,0.4489979724351189
sun,excitement,0.5016613767342977
sun,corpse,0.8583964347044613
sun,horn,0.46548096471367517
sun,insect,0.8383247187474545
sun,chest,0.6119818162807102
sun,hawk,0.7669597747176472
sun,surprise,0.4586479983961743
sun,shyness,0.7615691482444635
sun,positivity,0.49457814053165017
sun,dream,0.857690883489696
sun,despair,0.8953113462008099
sun,shampoo,0.7256383705427485
sun,harp,0.4991932772126614
sun,chaos,0.7923566051761036
sun,temptation,0.7640340722708436
sun,muscle,0.6808233672179054
sun,shirt,0.8469438689262043
sun,building,0.8587896105052111
sun,windmill,0.7108955536671845
sun,adoration,0.8067788120584841
sun,anxiety,0.6821932612379267
sun,gloom,0.8674458640890486
sun,optimism,0.5611974228106141
sun,divinity,0.6183166507739336
sun,boat,0.8499102739895312
sun,heroism,0.6680073041665368
sun,relief,0.7294756629006569
sun,discomfort,0.7522697709397419
sun,bunkbed,0.8396965195892492
sun,craziness,0.6884929753391191
sun,bracelet,0.5341635860532957
sun,fish,0.6415616899699187
sun,tie,0.8215728179097227
sun,loyal,0.7347685703853724
sun,friendliness,0.566199267354425
sun,noblity,0.7680199128317522
sun,blessing,0.6260075831133436
sun,faith,0.6230549523447895
sun,drums,0.7869823873979032
sun,playfulness,0.6269468304982008
sun,seat,0.8516786412157786
sun,insanity,0.7257136973642282
sun,couch,0.8865639650056647
